id,lawd_cd,jibun,umdnm,aptnm,aptdong,floor,buildyear,전용면적타입,전용면적,전용평수,deal_ym,dealyear,dealmonth,dealday,dealamount,buyergbn,cdealday,cdealtype,dealinggbn,estateagentsggnm,landcd,landleaseholdgbn,rgstdate,slergbn,fetched_at
10206,11200,258,하왕십리동,벽산,,10,1996,114,114.46,34.7,201501,2015,1,22,48000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10207,11200,15,응봉동,대림강변타운,,4,2001,114,114.88,34.8,201501,2015,1,28,62800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10208,11200,1331,금호동3가,두산,,14,1994,59,59.97,18.2,201501,2015,1,4,35300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10209,11200,1058,하왕십리동,극동미라주,,14,2001,114,114.63,34.7,201501,2015,1,27,51500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10210,11200,100,응봉동,대림(1차),,14,1986,113,113.71,34.5,201501,2015,1,3,57000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10211,11200,716,성수동1가,우성,,6,2004,84,84.67,25.7,201501,2015,1,7,41700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10212,11200,13-157,성수동1가,뚝섬현대,,3,1992,84,84.22,25.5,201501,2015,1,31,39500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10213,11200,345,행당동,두산,,13,1997,84,84.87,25.7,201501,2015,1,29,43400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10214,11200,345,행당동,두산,,18,1997,84,84.87,25.7,201501,2015,1,27,43500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10215,11200,347,행당동,대림e-편한세상,,8,2000,84,84.87,25.7,201501,2015,1,30,49500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10216,11200,784,마장동,세림,,9,1986,84,84.93,25.7,201501,2015,1,26,38500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10217,11200,1061,하왕십리동,왕십리풍림아이원,,6,2004,114,114.928,34.8,201501,2015,1,7,51300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10218,11200,700,금호동3가,금호자이2차,,9,2012,84,84.9796,25.8,201501,2015,1,31,57500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10219,11200,1662,금호동3가,금호한신,,15,2005,59,59.99,18.2,201501,2015,1,29,40950,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10220,11200,220-1,옥수동,한남하이츠,,13,1982,149,149.38,45.3,201501,2015,1,31,96000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10221,11200,1052,하왕십리동,금호베스트빌,,6,2001,114,114.73,34.8,201501,2015,1,21,42000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10222,11200,633,금호동1가,벽산,,14,2001,59,59.9,18.2,201501,2015,1,21,33800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10223,11200,376,행당동,서울숲행당푸르지오,,3,2011,59,59.81,18.1,201501,2015,1,31,48500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10224,11200,275,응봉동,신동아,,14,1996,59,59.97,18.2,201501,2015,1,10,30400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10225,11200,656-234,성수동1가,서울숲대림,,5,2000,84,84.015,25.5,201501,2015,1,28,54000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10226,11200,250,옥수동,옥수삼성,,3,1999,84,84.822,25.7,201501,2015,1,22,57900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10227,11200,4,옥수동,현대,,8,1990,71,71.05,21.5,201501,2015,1,24,46000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10228,11200,835,성수동2가,롯데캐슬파크,,22,2003,101,101.995,30.9,201501,2015,1,30,58500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10229,11200,428,옥수동,극동,,12,1986,57,57.78,17.5,201501,2015,1,21,39900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10230,11200,428,옥수동,극동,,5,1986,84,84.74,25.7,201501,2015,1,21,51000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10231,11200,428,옥수동,극동,,1,1986,84,84.74,25.7,201501,2015,1,27,47700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10232,11200,1331,금호동3가,두산,,8,1994,59,59.97,18.2,201501,2015,1,29,37000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10233,11200,656-320,성수동1가,동아,,9,1983,52,52.68,16.0,201501,2015,1,24,40800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10234,11200,656-234,성수동1가,서울숲대림,,2,2000,84,84.015,25.5,201501,2015,1,3,49900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10235,11200,347,행당동,대림e-편한세상,,4,2000,59,59.96,18.2,201501,2015,1,20,38500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10236,11200,347,행당동,대림e-편한세상,,9,2000,84,84.87,25.7,201501,2015,1,19,49000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10237,11200,13-157,성수동1가,뚝섬현대,,8,1992,84,84.22,25.5,201501,2015,1,31,39000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10238,11200,60,옥수동,풍림아이원,,2,2004,84,84.767,25.7,201501,2015,1,24,60000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10239,11200,633,금호동1가,벽산,,18,2001,59,59.9,18.2,201501,2015,1,19,30000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10240,11200,314,사근동,벽산,,4,2000,84,84.8,25.7,201501,2015,1,24,34300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10241,11200,709,성수동1가,대우2,,7,1999,84,84.97,25.7,201501,2015,1,26,43700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10242,11200,716,성수동1가,우성,,5,2004,84,84.67,25.7,201501,2015,1,28,41000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10243,11200,843,성수동2가,서울숲힐스테이트,,16,2009,143,143,43.3,201501,2015,1,29,119000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10244,11200,275,응봉동,신동아,,9,1996,59,59.97,18.2,201501,2015,1,24,31200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10245,11200,843,성수동2가,서울숲힐스테이트,,19,2009,117,117.13,35.5,201501,2015,1,23,96800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10246,11200,220-1,옥수동,한남하이츠,,13,1982,101,101.12,30.6,201501,2015,1,20,73200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10247,11200,1331,금호동3가,두산,,10,1994,79,79.08,24.0,201501,2015,1,21,39200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10248,11200,656-234,성수동1가,서울숲대림,,5,2000,59,59.885,18.1,201501,2015,1,26,43900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10249,11200,1217,금호동2가,래미안하이리버,,11,2012,84,84.98,25.8,201501,2015,1,28,70800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10250,11200,706,성수동1가,쌍용,,12,1997,59,59.76,18.1,201501,2015,1,27,39500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10251,11200,1061,하왕십리동,왕십리풍림아이원,,14,2004,59,59.936,18.2,201501,2015,1,23,39800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10252,11200,1331,금호동3가,두산,,12,1994,116,116.81,35.4,201501,2015,1,14,52500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10253,11200,250,옥수동,옥수삼성,,18,1999,84,84.822,25.7,201501,2015,1,31,60000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10254,11200,4,옥수동,현대,,1,1990,104,104.38,31.6,201501,2015,1,31,52000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10255,11200,275,응봉동,신동아,,14,1996,84,84.81,25.7,201501,2015,1,31,38000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10256,11200,15,응봉동,대림강변타운,,21,2001,114,114.88,34.8,201501,2015,1,23,77000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10257,11200,250,옥수동,옥수삼성,,19,1999,59,59.7,18.1,201501,2015,1,20,47000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10258,11200,1331,금호동3가,두산,,5,1994,79,79.08,24.0,201501,2015,1,31,39800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10259,11200,709,성수동1가,대우2,,16,1999,59,59.83,18.1,201501,2015,1,14,34400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10260,11200,428,옥수동,극동,,6,1986,148,148.23,44.9,201501,2015,1,16,68000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10261,11200,258,하왕십리동,벽산,,10,1996,114,114.46,34.7,201501,2015,1,16,48500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10262,11200,768-17,마장동,행복드림,,5,2005,84,84.56,25.6,201501,2015,1,31,35300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10263,11200,1662,금호동3가,금호한신,,15,2005,59,59.99,18.2,201501,2015,1,26,40000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10264,11200,706,성수동1가,쌍용,,8,1997,59,59.76,18.1,201501,2015,1,16,38500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10265,11200,800,금호동4가,대우,,21,2001,59,59.97,18.2,201501,2015,1,10,39900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10266,11200,834,성수동2가,현대I-PARK,,10,2003,104,104.56,31.7,201501,2015,1,14,62900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10267,11200,69,도선동,삼성쉐르빌,,22,2006,84,84.74,25.7,201501,2015,1,22,43400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10268,11200,704,성수동1가,한진타운,,9,1994,59,59.4,18.0,201501,2015,1,23,42500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10269,11200,830,성수동2가,강변금호타운,,6,1994,84,84.43,25.6,201501,2015,1,24,47500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10270,11200,69,도선동,삼성쉐르빌,,5,2006,84,84.74,25.7,201501,2015,1,5,42200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10271,11200,69,도선동,삼성쉐르빌,,23,2006,84,84.93,25.7,201501,2015,1,24,45000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10272,11200,633,금호동1가,벽산,,19,2001,59,59.9,18.2,201501,2015,1,21,36300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10273,11200,633,금호동1가,벽산,,5,2001,84,84.82,25.7,201501,2015,1,19,41000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10274,11200,314,사근동,벽산,,19,2000,84,84.88,25.7,201501,2015,1,19,35000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10275,11200,1052,하왕십리동,금호베스트빌,,8,2001,114,114.73,34.8,201501,2015,1,15,42000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10276,11200,104,송정동,서울숲아이파크,,12,2009,84,84.87,25.7,201501,2015,1,12,46000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10277,11200,347,행당동,대림e-편한세상,,8,2000,59,59.96,18.2,201501,2015,1,28,38800,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10278,11200,119-1,홍익동,홍익한신,,1,1975,74,74.48,22.6,201501,2015,1,14,25450,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10279,11200,710,성수동1가,강변건영아파트,,18,2002,84,84.952,25.7,201501,2015,1,24,58500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10280,11200,346,행당동,행당한진타운,,20,2000,59,59.96,18.2,201501,2015,1,15,39200,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10281,11200,60,옥수동,풍림아이원,,8,2004,84,84.767,25.7,201501,2015,1,13,57500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10282,11200,53,홍익동,청계대주파크빌,,13,2005,84,84.98,25.8,201501,2015,1,31,37500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10283,11200,1331,금호동3가,두산,,9,1994,116,116.81,35.4,201501,2015,1,23,52300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10284,11200,633,금호동1가,벽산,,11,2001,84,84.82,25.7,201501,2015,1,20,41900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10285,11200,1331,금호동3가,두산,,5,1994,59,59.97,18.2,201501,2015,1,16,35500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10286,11200,346,행당동,행당한진타운,,21,2000,59,59.96,18.2,201501,2015,1,27,39700,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10287,11200,1250,금호동4가,롯데,,16,2003,84,84.99,25.8,201501,2015,1,26,47500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10288,11200,834,성수동2가,현대I-PARK,,11,2003,104,104.56,31.7,201501,2015,1,7,56400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10289,11200,685-696,성수동1가,갤러리아포레,,13,2011,170,170.98,51.8,201501,2015,1,15,301000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10290,11200,1818,금호동1가,신금호두산위브,,2,2006,84,84.12,25.5,201501,2015,1,31,45000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10291,11200,1500,금호동1가,금호삼성래미안,,12,2001,59,59.95,18.2,201501,2015,1,21,40600,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10292,11200,715,성수동1가,중앙하이츠빌,,8,2003,84,84.9673,25.7,201501,2015,1,24,53900,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
